category,glyph name,composition,code point,(char.),(character name),(compatible glyph name)
syllabic,dot_po_dotAbove-cans,"dot-cans, po-cans, dotAbove-cans",0x1442,ᑂ,CANADIAN SYLLABICS PWOO,dotCans_poCans_dotAboveCans
syllabic,po_dotAbove_dot-cans,"po-cans, dotAbove-cans, dot-cans",0x1443,ᑃ,CANADIAN SYLLABICS WEST-CREE PWOO,poCans_dotAboveCans_dotCans
syllabic,dot_pa-cans,"dot-cans, pa-cans",0x1444,ᑄ,CANADIAN SYLLABICS PWA,dotCans_paCans
syllabic,pa_dot-cans,"pa-cans, dot-cans",0x1445,ᑅ,CANADIAN SYLLABICS WEST-CREE PWA,paCans_dotCans
syllabic,dot_pa_dotAbove-cans,"dot-cans, pa-cans, dotAbove-cans",0x1446,ᑆ,CANADIAN SYLLABICS PWAA,dotCans_paCans_dotAboveCans
syllabic,pa_dotAbove_dot-cans,"pa-cans, dotAbove-cans, dot-cans",0x1447,ᑇ,CANADIAN SYLLABICS WEST-CREE PWAA,paCans_dotAboveCans_dotCans
syllabic,po_ringAbove-cans,"po-cans, ringAbove-cans",0x18B4,ᢴ,CANADIAN SYLLABICS POY,poCans_ringAboveCans
syllabic,pa_ringAbove-cans,"pa-cans, ringAbove-cans",0x18B5,ᢵ,CANADIAN SYLLABICS PAY,paCans_ringAboveCans
syllabic,dot_po_ringAbove-cans,"dot-cans, po-cans, ringAbove-cans",0x18B6,ᢶ,CANADIAN SYLLABICS PWOY,dotCans_poCans_ringAboveCans
syllabic,po_dieresis-cans,"po-cans, dieresis-cans",0x1435,ᐵ,CANADIAN SYLLABICS Y-CREE POO,poCans_dieresisCans
syllabic,pa_dieresis-cans,"pa-cans, dieresis-cans",0x1448,ᑈ,CANADIAN SYLLABICS Y-CREE PWAA,paCans_dieresisCans
syllabic,paWithDiagonalDieresis-cans,,,,,paWithDiagonalDieresisCans
syllabic,fe-cans,,0x1553,ᕓ,CANADIAN SYLLABICS FE,feCans
syllabic,fi-cans,,0x1555,ᕕ,CANADIAN SYLLABICS FI,fiCans
syllabic,fo-cans,,0x1557,ᕗ,CANADIAN SYLLABICS FO,foCans
syllabic,fa-cans,,0x1559,ᕙ,CANADIAN SYLLABICS FA,faCans
syllabic,fi_ringAbove-cans,"fi-cans, ringAbove-cans",0x1554,ᕔ,CANADIAN SYLLABICS FAAI,fiCans_ringAboveCans
syllabic,fi_dotAbove-cans,"fi-cans, dotAbove-cans",0x1556,ᕖ,CANADIAN SYLLABICS FII,fiCans_dotAboveCans
syllabic,fo_dotAbove-cans,"fo-cans, dotAbove-cans",0x1558,ᕘ,CANADIAN SYLLABICS FOO,foCans_dotAboveCans
syllabic,fa_dotAbove-cans,"fa-cans, dotAbove-cans",0x155A,ᕚ,CANADIAN SYLLABICS FAA,faCans_dotAboveCans
syllabic,dot_fa_dotAbove-cans,"dot-cans, fa-cans, dotAbove-cans",0x155B,ᕛ,CANADIAN SYLLABICS FWAA,dotCans_faCans_dotAboveCans
syllabic,fa_dotAbove_dot-cans,"fa-cans, dotAbove-cans, dot-cans",0x155C,ᕜ,CANADIAN SYLLABICS WEST-CREE FWAA,faCans_dotAboveCans_dotCans
syllabic,te-cans,,0x144C,ᑌ,CANADIAN SYLLABICS TE,teCans
syllabic,ti-cans,,0x144E,ᑎ,CANADIAN SYLLABICS TI,tiCans
syllabic,to-cans,,0x1450,ᑐ,CANADIAN SYLLABICS TO,toCans
syllabic,ta-cans,,0x1455,ᑕ,CANADIAN SYLLABICS TA,taCans
syllabic,supTi-cans,,0x18D5,ᣕ,CANADIAN SYLLABICS OJIBWAY T,supTiCans
syllabic,supTa-cans,,0x1466,ᑦ,CANADIAN SYLLABICS T,supTaCans
syllabic,ti_ringAbove-cans,"ti-cans, ringAbove-cans",0x144D,ᑍ,CANADIAN SYLLABICS TAAI,tiCans_ringAboveCans
syllabic,ti_dotAbove-cans,"ti-cans, dotAbove-cans",0x144F,ᑏ,CANADIAN SYLLABICS TII,tiCans_dotAboveCans
syllabic,to_dotAbove-cans,"to-cans, dotAbove-cans",0x1451,ᑑ,CANADIAN SYLLABICS TOO,toCans_dotAboveCans
syllabic,ta_dotAbove-cans,"ta-cans, dotAbove-cans",0x1456,ᑖ,CANADIAN SYLLABICS TAA,taCans_dotAboveCans
syllabic,dot_te-cans,"dot-cans, te-cans",0x1457,ᑗ,CANADIAN SYLLABICS TWE,dotCans_teCans
syllabic,te_dot-cans,"te-cans, dot-cans",0x1458,ᑘ,CANADIAN SYLLABICS WEST-CREE TWE,teCans_dotCans
syllabic,dot_ti-cans,"dot-cans, ti-cans",0x1459,ᑙ,CANADIAN SYLLABICS TWI,dotCans_tiCans
syllabic,ti_dot-cans,"ti-cans, dot-cans",0x145A,ᑚ,CANADIAN SYLLABICS WEST-CREE TWI,tiCans_dotCans
syllabic,dot_ti_dotAbove-cans,"dot-cans, ti-cans, dotAbove-cans",0x145B,ᑛ,CANADIAN SYLLABICS TWII,dotCans_tiCans_dotAboveCans
syllabic,ti_dotAbove_dot-cans,"ti-cans, dotAbove-cans, dot-cans",0x145C,ᑜ,CANADIAN SYLLABICS WEST-CREE TWII,tiCans_dotAboveCans_dotCans
syllabic,dot_to-cans,"dot-cans, to-cans",0x145D,ᑝ,CANADIAN SYLLABICS TWO,dotCans_toCans
syllabic,to_dot-cans,"to-cans, dot-cans",0x145E,ᑞ,CANADIAN SYLLABICS WEST-CREE TWO,toCans_dotCans
syllabic,dot_to_dotAbove-cans,"dot-cans, to-cans, dotAbove-cans",0x145F,ᑟ,CANADIAN SYLLABICS TWOO,dotCans_toCans_dotAboveCans
syllabic,to_dotAbove_dot-cans,"to-cans, dotAbove-cans, dot-cans",0x1460,ᑠ,CANADIAN SYLLABICS WEST-CREE TWOO,toCans_dotAboveCans_dotCans
syllabic,dot_ta-cans,"dot-cans, ta-cans",0x1461,ᑡ,CANADIAN SYLLABICS TWA,dotCans_taCans
